ATCLNO,동,PRC,500m_내_마트수,500m_내_버스수,500m_내_경찰수,500m_내_학교수,가장가까운지하철거리
2432544388,신림동,21300,2,22,0,3,1.280648691225495
2433089793,신림동,23000,0,17,0,3,1.1200340175637622
2430466881,신림동,8000,0,19,0,3,1.1760552250128606
2434538925,신림동,24000,1,8,0,7,1.8074443784271572
2433660873,신림동,10000,1,10,0,7,1.9172283465614053
2433619961,흑석동,35000,0,3,1,3,0.7865751936582543
2433016542,흑석동,9500,1,10,1,0,0.2101656475978112
2430572343,흑석동,12000,1,9,1,0,0.3030455629456369
2432179693,흑석동,10000,1,9,1,0,0.3128289922197478
2433641665,흑석동,30000,3,24,0,3,0.6969283351205587
2433637794,흑석동,30000,3,24,0,3,0.6969283351205587
2434566282,흑석동,21000,1,20,1,4,0.5147010033446101
2433995328,흑석동,21000,1,20,1,4,0.5147010033446101
2431017703,흑석동,10000,1,20,1,5,0.5983328154990925
2432160557,흑석동,9000,1,19,1,4,0.5860872168032987
2430833133,흑석동,10000,1,19,1,4,0.5860872168032987
2430994372,흑석동,4000,1,19,1,4,0.5860872168032987
2433991891,흑석동,5000,1,19,1,4,0.5860872168032987
2434550135,흑석동,30000,1,23,1,4,0.4876005104033719
2434573675,흑석동,7000,1,23,1,4,0.3232165343829368
2434303767,흑석동,6000,4,28,0,1,0.3977314154603769
2430983140,사당동,10000,0,19,0,2,0.2413207548391505
2430861673,사당동,5000,0,19,0,2,0.2413207548391505
2434584411,사당동,10000,0,19,0,4,0.4229084567539443
2432856807,사당동,9500,2,17,0,3,0.4062034993403219
2434311434,사당동,10000,1,11,0,4,0.5822809946714015
2433870427,사당동,12000,1,11,0,4,0.6459482160949597
2433906065,사당동,8000,1,11,0,3,0.674091872800891
2434315219,사당동,20000,2,20,0,4,0.5457614743789048
2433912569,사당동,10000,2,16,0,3,0.4962709463127155
2432299958,사당동,11000,2,15,0,3,0.4918576145945573
2433470661,사당동,11000,2,15,0,3,0.4918576145945573
2431048765,사당동,50000,1,9,0,4,0.5628562562657831
2434432222,사당동,13000,2,26,0,2,0.0872306464301067
2433618700,사당동,12000,1,19,0,4,0.7035122575227036
2433097829,사당동,13000,1,19,0,4,0.7035122575227036
2432984045,사당동,7000,1,17,0,4,0.5766361498764606
2434530361,사당동,5000,1,15,0,4,0.5423457673337143
2433353731,봉천동,8000,1,20,1,5,0.5308664476116054
2434447849,봉천동,10000,1,20,1,5,0.47900638779765
2434022844,신림동,11000,1,23,1,5,0.2721028367764441
2434491194,신림동,12000,2,23,0,3,0.1296875712898623
2431196813,신림동,57000,0,28,0,2,0.6751078930024044
2433530891,남현동,40000,1,19,0,1,0.7676629935740122
2432791405,본동,45000,2,14,0,2,1.3526069464977926
2431222809,본동,42000,1,29,1,2,0.272945187097951
2430769787,본동,55000,1,37,1,3,0.4680171604726731
2434790254,본동,43050,1,33,1,3,0.3409849798304605
2434767229,본동,50000,1,33,1,3,0.3409849798304605
2434764444,본동,55000,1,36,1,3,0.4408204219693422
2434765316,본동,55000,1,37,1,3,0.4680171604726731
2434762968,본동,53000,1,37,1,3,0.4680171604726731
2434763300,본동,37000,1,29,1,2,0.272945187097951
2434676969,본동,75000,0,18,1,1,0.3411284080144432
2434769603,봉천동,65000,1,38,1,3,0.4820638140719857
2434762340,봉천동,78000,1,39,1,2,0.4709415362129698
2432168954,봉천동,13200,0,29,1,2,0.2924484409344575
2432293524,봉천동,23000,0,29,1,3,0.1886322170117271
2434778924,봉천동,95000,0,9,0,0,0.6827782198138389
2431905302,봉천동,72000,1,15,0,5,0.4807753159717597
2431644396,봉천동,70000,1,17,0,5,0.481289706919598
2431648178,봉천동,72000,1,15,0,5,0.4807753159717597
2430296598,봉천동,55000,1,13,0,5,0.5623355607693324
2434739209,봉천동,88000,1,31,1,3,0.0617619225808158
2434739430,봉천동,110000,1,32,1,2,0.0978220630017501
2434054625,봉천동,88000,1,32,1,3,0.1410981207108534
2432291888,봉천동,65000,0,32,0,2,0.5301003695841859
2433636373,봉천동,65000,1,33,0,2,0.4729726792597046
2434760103,사당동,75000,1,18,0,3,0.6980031436113183
2432980949,사당동,58000,3,26,0,2,0.9481120621764392
2434222687,사당동,56000,1,30,0,2,0.3618017103576876
2432492836,사당동,65000,0,10,0,2,0.5410022409783746
2434759742,사당동,75000,1,23,0,1,0.628375201463647
2432296724,사당동,85000,2,30,1,3,0.4504248212241226
2434753992,사당동,87000,2,28,0,2,0.4769365546766512
2434055125,사당동,90000,2,28,0,2,0.4769365546766512
2434614315,사당동,65000,3,20,0,3,0.9439583697879548
2431258271,사당동,67000,0,16,0,2,0.7465999771445737
2433094691,본동,15000,1,21,0,2,0.6855696284287643
2432299504,본동,12000,1,18,0,2,0.7609051053839575
2433083888,본동,11000,2,25,1,1,0.290708144513797
2433610221,흑석동,9000,2,21,0,1,0.5837066757517513
2433991280,흑석동,13000,2,19,0,3,0.4053175788918903
2430864036,흑석동,10000,2,19,0,2,0.4157019035083232
2430885670,대방동,24000,2,21,0,1,0.6112269885095045
2434001771,대방동,8000,2,26,1,4,0.648382363761861
2434076834,대방동,20000,2,25,0,3,0.6305749041511259
2434023145,대방동,6000,2,44,1,4,0.868340572624709
2431012540,대방동,8000,2,37,1,2,0.6028296122671388
2431014288,대방동,8000,2,37,1,2,0.6028296122671388
2431013406,대방동,8000,2,37,1,2,0.6028296122671388
2430922932,대방동,9000,2,37,1,2,0.6028296122671388
2433992712,대방동,8000,2,37,1,2,0.6028296122671388
2434509049,대방동,13000,2,35,1,2,0.5992398907400543
2433736540,대방동,23000,2,36,1,2,0.7424668189847075
2432323014,대방동,36700,2,32,1,1,0.7109456314093393
2434559176,대방동,21700,1,40,1,2,0.8397100829609082
2434380021,대방동,12000,2,20,1,4,0.4055986972892229
2434044650,대방동,15000,1,31,2,3,0.6034606949816478
2432128483,대방동,5000,1,27,2,3,0.5653264633734312
2430990823,대방동,10000,1,27,2,3,0.5653264633734312
2432541632,대방동,12000,1,27,2,3,0.5653264633734312
2434575311,대방동,8000,0,27,1,3,0.6003793086446211
2433624668,대방동,11000,0,30,0,3,0.7097008022450774
2432888345,대방동,6500,0,27,0,2,0.8001588928270336
2433896423,대방동,18000,2,22,0,1,0.2644449619675175
2432168804,대방동,19000,3,30,0,1,0.3066814929639632
2432288756,대방동,9000,4,29,0,1,0.4060279485516381
2434351349,대방동,15000,4,28,0,1,0.4214625419058421
2434282779,대방동,11000,2,30,0,4,0.5456314614198516
